category,count
LARCENY/THEFT,480448
OTHER OFFENSES,309358
NON-CRIMINAL,238323
ASSAULT,194694
VEHICLE THEFT,126602
DRUG/NARCOTIC,119628
VANDALISM,116059
WARRANTS,101379
BURGLARY,91543
SUSPICIOUS OCC,80444
MISSING PERSON,64961
ROBBERY,55867
FRAUD,41542
SECONDARY CODES,25831
FORGERY/COUNTERFEITING,23050
WEAPON LAWS,22234
TRESPASS,19449
PROSTITUTION,16701
STOLEN PROPERTY,11891
"SEX OFFENSES, FORCIBLE",11742
DISORDERLY CONDUCT,10040
DRUNKENNESS,9826
RECOVERED VEHICLE,8716
DRIVING UNDER THE INFLUENCE,5672
KIDNAPPING,5346
RUNAWAY,4440
LIQUOR LAWS,4083
ARSON,3931
EMBEZZLEMENT,2988
LOITERING,2430
SUICIDE,1292
FAMILY OFFENSES,1183
BAD CHECKS,925
BRIBERY,813
EXTORTION,741
"SEX OFFENSES, NON FORCIBLE",431
GAMBLING,348
PORNOGRAPHY/OBSCENE MAT,59
TREA,14
